user_id,item_id,rating
B000G6RYNE,A2OEUROGZDTXUJ,5
B000G6RYNE,A22PUBSSNP54L,5
B000G6RYNE,AYB4ELCS5AM8P,5
B000G6RYNE,A2MUGFV2TDQ47K,3
B000G6RYNE,A3RMGIKUWGPZOK,5
B000G6RYNE,A3PJZ8TU8FDQ1K,5
B000G6RYNE,A3PJZ8TU8FDQ1K,5
B000G6RYNE,A31N6KB160O508,4
B000G6RYNE,A31N6KB160O508,4
B000G6RYNE,A31N6KB160O508,4
B000G6RYNE,A1B05INWIDZ74O,3
B000G6RYNE,A1B05INWIDZ74O,5
B000G6RYNE,A2OEUROGZDTXUJ,4
B000G6RYNE,A38KP1POQ191WT,1
B000G6RYNE,ACYR6O588USK,5
B000G6RYNE,AY1EF0GOH80EK,5
B000G6RYNE,A2A1XYSB692L6J,5
B000G6RYNE,A3RMGIKUWGPZOK,3
B000G6RYNE,A2TN9C5E4A0I3F,1
B000G6RYNE,AR7TAEEUDHMUB,1
B000G6RYNE,ADS5APY1NKTL4,5
B000G6RYNE,A3RMGIKUWGPZOK,5
B000G6RYNE,A3PJZ8TU8FDQ1K,5
B000G6RYNE,A1Q7A78VSQ5GQ4,5
B000G6RYNE,A2A8KWCE8RKB9T,4
B000G6RYNE,A2OEUROGZDTXUJ,5
B000G6RYNE,A2II09GQGWOMTQ,5
B000G6RYNE,AQQLWCMRNDFGI,4
B000G6RYNE,A24ZV048V7J0MT,5
B000G6RYNE,A3RMGIKUWGPZOK,5
B000G6RYNE,A3PJZ8TU8FDQ1K,5
B000G6RYNE,A3PJZ8TU8FDQ1K,5
B000G6RYNE,A2YKWYC3WQJX5J,5
B000G6RYNE,AKMEY1BSHSDG7,5
B000G6RYNE,ADS5APY1NKTL4,5
B000G6RYNE,A3M174IC0VXOS2,5
B000G6RYNE,A2OL5WLCNZVD9K,3
B001RVFDOO,A3PD8JD9L4WEII,4
B001RVFDOO,A2YMCPP3KW9IXU,5
B001RVFDOO,A1I85Y08VRZ32Q,5
B001RVFDOO,A132ETQPMHQ585,2
B001RVFDOO,A1F7YU6O5RU432,3
B001RVFDOO,A2RL1RS6PWUHWI,2
B001RVFDOO,AQLL2R1PPR46X,5
B001RVFDOO,A19123D9G66E0O,3
B000F9Z1WI,A3M8R4JD1SIS76,5
B000F9Z1WI,A2R6RA8FRBS608,5
B000F9Z1WI,A2YB7DLC3FOR7W,5
